200603 181008.913|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\CODE\C++\pc2Client\bin\logs directory.
200603 181008.913|INFO|AWT-EventQueue-0|info|
200603 181008.913|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 13.0.2 build 5102 Windows 10 10.0 (amd64) 
200603 181008.913|INFO|AWT-EventQueue-0|info|Login: 73 (aka team73)
200603 181008.915|INFO|AWT-EventQueue-0|startLog|Working directory is E:\CODE\C++\pc2Client\bin
200603 181008.916|INFO|AWT-EventQueue-0|startLog|Process id is 13332@Admin
200603 181008.916|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.10.117:50002 as TEAM73 @ site 0
200603 181008.918|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM73 @ site 0
200603 181008.918|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM73 @ site 0 -> SERVER0 @ site 0
200603 181008.919|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM73 @ site 0 -> SERVER0 @ site 0
200603 181008.919|INFO|Thread-3|run|send(Serializable)
200603 181008.919|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200603 181009.118|INFO|Thread-0|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200603 181009.196|INFO|Thread-4|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #328 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 181009.196|INFO|Thread-4|dumpPacket|Packet LOGIN_SUCCESS (Seq #328, o#328 ) recieveObject
200603 181009.197|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181009.197|INFO|Thread-4|dumpPacket|    To: TEAM73 @ site 1
200603 181009.197|INFO|Thread-4|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@19e4a36d
200603 181009.197|INFO|Thread-4|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200603 181009.197|INFO|Thread-4|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@17234e21
200603 181009.198|INFO|Thread-4|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@131cc81d
200603 181009.198|INFO|Thread-4|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@561e441a
200603 181009.198|INFO|Thread-4|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@6a5d7a7f
200603 181009.198|INFO|Thread-4|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@67027353
200603 181009.198|INFO|Thread-4|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@12ab138e
200603 181009.199|INFO|Thread-4|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@3631bb55
200603 181009.199|INFO|Thread-4|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@37bea16e
200603 181009.199|INFO|Thread-4|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-9028318911870481936
200603 181009.199|INFO|Thread-4|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM73 @ site 1
200603 181009.199|INFO|Thread-4|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200603 181009.199|INFO|Thread-4|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@43d2c421
200603 181009.200|INFO|Thread-4|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@9af98b6
200603 181009.200|INFO|Thread-4|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@327f61c5
200603 181009.200|INFO|Thread-4|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@70880335
200603 181009.200|INFO|Thread-4|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@25ae32c9
