200603 181009.222|CONFIG|Thread-4|setFileHandlers|Now logging to E:\CODE\C++\pc2Client\bin\logs directory.
200603 181009.222|INFO|Thread-4|info|
200603 181009.223|INFO|Thread-4|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 13.0.2 build 5102 Windows 10 10.0 (amd64) 
200603 181009.223|INFO|Thread-4|info|Login: team73 (aka team73)
200603 181009.223|INFO|Thread-4|startLog|Working directory is E:\CODE\C++\pc2Client\bin
200603 181009.223|INFO|Thread-4|startLog|Process id is 13332@Admin
200603 181009.224|INFO|Thread-4|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200603 181009.234|INFO|Thread-4|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200603 181009.501|INFO|Thread-4|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200603 181009.503|INFO|Thread-4|info|handlePacket end Packet[LOGIN_SUCCESS] #328 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 181009.503|INFO|Thread-4|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #328 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 181013.858|INFO|Thread-5|info| receiveObject(S) start got Packet[ADD_SETTING] #330 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181013.860|INFO|Thread-5|dumpPacket|Packet ADD_SETTING (Seq #330, o#6 ) recieveObject
200603 181013.860|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181013.861|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
200603 181013.861|INFO|Thread-5|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C/C++
200603 181013.861|INFO|Thread-5|info|handlePacket start Packet[ADD_SETTING] #330 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181013.862|INFO|Thread-5|dumpPacket|Packet ADD_SETTING (Seq #330, o#6 ) handlePacket
200603 181013.862|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181013.862|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
200603 181013.862|INFO|Thread-5|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C/C++
200603 181013.864|INFO|Thread-5|info|handlePacket end Packet[ADD_SETTING] #330 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181013.864|INFO|Thread-5|info| receiveObject(S) end   got Packet[ADD_SETTING] #330 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181018.564|INFO|Thread-6|info| receiveObject(S) start got Packet[ADD_SETTING] #332 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181018.565|INFO|Thread-6|dumpPacket|Packet ADD_SETTING (Seq #332, o#7 ) recieveObject
200603 181018.565|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181018.565|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200603 181018.565|INFO|Thread-6|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
200603 181018.566|INFO|Thread-6|info|handlePacket start Packet[ADD_SETTING] #332 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181018.566|INFO|Thread-6|dumpPacket|Packet ADD_SETTING (Seq #332, o#7 ) handlePacket
200603 181018.566|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181018.567|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200603 181018.567|INFO|Thread-6|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
200603 181018.567|INFO|Thread-6|info|handlePacket end Packet[ADD_SETTING] #332 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181018.568|INFO|Thread-6|info| receiveObject(S) end   got Packet[ADD_SETTING] #332 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181029.668|INFO|Thread-7|info| receiveObject(S) start got Packet[ADD_SETTING] #336 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181029.669|INFO|Thread-7|dumpPacket|Packet ADD_SETTING (Seq #336, o#8 ) recieveObject
200603 181029.669|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181029.669|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
200603 181029.670|INFO|Thread-7|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Python
200603 181029.670|INFO|Thread-7|info|handlePacket start Packet[ADD_SETTING] #336 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181029.671|INFO|Thread-7|dumpPacket|Packet ADD_SETTING (Seq #336, o#8 ) handlePacket
200603 181029.671|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 181029.672|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
200603 181029.673|INFO|Thread-7|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Python
