200517 212526.180|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\CODE\C++\pc2Client - Copy\bin\logs directory.
200517 212526.180|INFO|AWT-EventQueue-0|info|
200517 212526.180|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 13.0.2 build 5102 Windows 10 10.0 (amd64) 
200517 212526.181|INFO|AWT-EventQueue-0|info|Login: 360 (aka team360)
200517 212526.181|INFO|AWT-EventQueue-0|startLog|Working directory is E:\CODE\C++\pc2Client - Copy\bin
200517 212526.182|INFO|AWT-EventQueue-0|startLog|Process id is 10796@Admin
200517 212526.182|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:51002 as TEAM360 @ site 0
200517 212526.183|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM360 @ site 0
200517 212526.183|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM360 @ site 0 -> SERVER0 @ site 0
200517 212526.184|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM360 @ site 0 -> SERVER0 @ site 0
200517 212526.184|INFO|Thread-3|run|send(Serializable)
200517 212526.184|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200517 212526.380|INFO|Thread-0|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200517 212526.440|INFO|Thread-4|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #168375 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212526.441|INFO|Thread-4|dumpPacket|Packet LOGIN_SUCCESS (Seq #168375, o#168375 ) recieveObject
200517 212526.441|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212526.441|INFO|Thread-4|dumpPacket|    To: TEAM360 @ site 1
200517 212526.441|INFO|Thread-4|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@e9a97f5
200517 212526.442|INFO|Thread-4|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200517 212526.442|INFO|Thread-4|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@5d7856
200517 212526.442|INFO|Thread-4|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@462fc85
200517 212526.442|INFO|Thread-4|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@4160726d
200517 212526.442|INFO|Thread-4|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@1b1f608b
200517 212526.443|INFO|Thread-4|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@706b3476
200517 212526.443|INFO|Thread-4|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@63fe782a
200517 212526.443|INFO|Thread-4|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@214f8d22
200517 212526.443|INFO|Thread-4|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@41b4bab8
200517 212526.443|INFO|Thread-4|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--461998653687413805
200517 212526.444|INFO|Thread-4|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM360 @ site 1
200517 212526.444|INFO|Thread-4|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200517 212526.444|INFO|Thread-4|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@68d5fe7c
200517 212526.444|INFO|Thread-4|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@78faf464
200517 212526.444|INFO|Thread-4|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@250150c4
200517 212526.444|INFO|Thread-4|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@41844fa6
200517 212526.445|INFO|Thread-4|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@6e56ff4
200517 212526.445|INFO|Thread-4|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@2993f298
200517 212526.445|INFO|Thread-4|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@63b101e
