200517 212526.468|CONFIG|Thread-4|setFileHandlers|Now logging to E:\CODE\C++\pc2Client - Copy\bin\logs directory.
200517 212526.468|INFO|Thread-4|info|
200517 212526.468|INFO|Thread-4|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 13.0.2 build 5102 Windows 10 10.0 (amd64) 
200517 212526.468|INFO|Thread-4|info|Login: team360 (aka team360)
200517 212526.469|INFO|Thread-4|startLog|Working directory is E:\CODE\C++\pc2Client - Copy\bin
200517 212526.469|INFO|Thread-4|startLog|Process id is 10796@Admin
200517 212526.469|INFO|Thread-4|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200517 212526.476|INFO|Thread-4|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200517 212526.674|INFO|Thread-4|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200517 212526.676|INFO|Thread-4|info|handlePacket end Packet[LOGIN_SUCCESS] #168375 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212526.677|INFO|Thread-4|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #168375 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212547.927|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 6 - BAI 3 C/C++ file: E:\CODE\C++\Contest6 - Sap xep va Tim kiem\3_sorting-3.cpp
200517 212547.931|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212547.932|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212550.945|INFO|Thread-6|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #168389 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212550.945|INFO|Thread-6|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168389, o#168389 ) recieveObject
200517 212550.946|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212550.946|INFO|Thread-6|dumpPacket|    To: TEAM360 @ site 1
200517 212550.946|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14880 QUEUED_FOR_COMPUTER_JUDGEMENT 9238 min 554303302ms from TEAM360 @ site 1 id Run--8435931170047594886 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212550.946|INFO|Thread-6|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #168389 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212550.946|INFO|Thread-6|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168389, o#168389 ) handlePacket
200517 212550.947|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212550.947|INFO|Thread-6|dumpPacket|    To: TEAM360 @ site 1
200517 212550.947|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14880 QUEUED_FOR_COMPUTER_JUDGEMENT 9238 min 554303302ms from TEAM360 @ site 1 id Run--8435931170047594886 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212555.163|INFO|Thread-6|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #168389 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212557.179|INFO|Thread-7|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #168400 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212557.179|INFO|Thread-7|dumpPacket|Packet RUN_JUDGEMENT (Seq #168400, o#168400 ) recieveObject
200517 212557.179|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212557.179|INFO|Thread-7|dumpPacket|    To: TEAM360 @ site 1
200517 212557.180|INFO|Thread-7|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord--4339074984951406486
200517 212557.180|INFO|Thread-7|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14880 JUDGED 9238 min 554303302ms from TEAM360 @ site 1 id Run--8435931170047594886 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212557.180|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212557.181|INFO|Thread-7|info|handlePacket start Packet[RUN_JUDGEMENT] #168400 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212557.182|INFO|Thread-7|dumpPacket|Packet RUN_JUDGEMENT (Seq #168400, o#168400 ) handlePacket
200517 212557.184|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212557.186|INFO|Thread-7|dumpPacket|    To: TEAM360 @ site 1
200517 212557.187|INFO|Thread-7|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord--4339074984951406486
200517 212557.188|INFO|Thread-7|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14880 JUDGED 9238 min 554303302ms from TEAM360 @ site 1 id Run--8435931170047594886 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212557.189|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212617.116|INFO|Thread-7|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 14880 JUDGED 9238 min 554303302ms from TEAM360 @ site 1 id Run--8435931170047594886 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078; runFiles=null
200517 212617.116|INFO|Thread-7|runChanged|Event not for me: sent to null but my ID is TEAM360 @ site 1
200517 212617.117|INFO|Thread-7|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #168400 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212619.617|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 6 - BAI 3 C/C++ file: E:\CODE\C++\Contest6 - Sap xep va Tim kiem\3_sorting-3.cpp
200517 212619.620|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212619.620|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212622.648|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #168404 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212622.649|INFO|Thread-9|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168404, o#168404 ) recieveObject
200517 212622.649|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212622.649|INFO|Thread-9|dumpPacket|    To: TEAM360 @ site 1
200517 212622.650|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14881 QUEUED_FOR_COMPUTER_JUDGEMENT 9238 min 554334957ms from TEAM360 @ site 1 id Run-7341838308363104632 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212622.650|INFO|Thread-9|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #168404 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212622.651|INFO|Thread-9|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168404, o#168404 ) handlePacket
200517 212622.651|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212622.652|INFO|Thread-9|dumpPacket|    To: TEAM360 @ site 1
200517 212622.652|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14881 QUEUED_FOR_COMPUTER_JUDGEMENT 9238 min 554334957ms from TEAM360 @ site 1 id Run-7341838308363104632 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212629.180|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #168414 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212629.181|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #168414, o#168414 ) recieveObject
200517 212629.181|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212629.181|INFO|Thread-10|dumpPacket|    To: TEAM360 @ site 1
200517 212629.181|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord--4955739303473349203
200517 212629.181|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14881 JUDGED 9238 min 554334957ms from TEAM360 @ site 1 id Run-7341838308363104632 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212629.182|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212629.182|INFO|Thread-10|info|handlePacket start Packet[RUN_JUDGEMENT] #168414 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212629.182|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #168414, o#168414 ) handlePacket
200517 212629.182|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
